,temp,dem9
2003-01-23,  19.8, 378.3
2003-01-24,  20.5, 375.6
2003-01-25,  23.9, 384.6
2003-01-26,  25.1, 381.9
2003-01-27,  25.6, 439.0
2003-01-28,  24.8, 429.3
2003-01-29,  26.1, 464.7
2003-01-30,  29.3, 535.1
2003-01-31,  30.3, 553.9
2003-02-01,  26.2, 434.0
2003-02-02,  25.8, 396.9
2003-02-03,  24.1, 406.8
2003-02-04,  24.3, 418.6
2003-02-05,  24.8, 436.8
2003-02-06,  25.4, 451.3
2003-02-07,  22.7, 390.7
2003-02-08,  23.2, 369.6
2003-02-09,  25.9, 399.0
2003-02-10,  24.3, 411.1
2003-02-11,  21.5, 369.2
2003-02-12,  22.4, 385.2
2003-02-13,  21.9, 378.3
2003-02-14,  22.6, 388.5
2003-02-15,  20.8, 343.8
2003-02-16,  16.8, 315.3
2003-02-17,  19.3, 361.7
2003-02-18,  21.8, 369.2
2003-02-19,  18.0, 376.6
2003-02-20,  15.8, 378.3
2003-02-21,  18.9, 375.6
2003-02-22,  19.6, 343.8
2003-02-23,  20.1, 315.3
2003-02-24,  22.0, 361.7
2003-02-25,  23.5, 401.4
2003-02-26,  26.3, 469.0
2003-02-27,  25.5, 453.4
2003-02-28,  22.5, 386.4
2003-03-01,  23.5, 376.0
2003-03-02,  22.5, 326.0
2003-03-03,  23.3, 389.6
2003-03-04,  24.1, 414.3
2003-03-05,  25.0, 441.1
2003-03-06,  25.5, 453.4
2003-03-07,  25.0, 440.1
2003-03-08,  25.2, 412.6
2003-03-09,  25.4, 388.3
2003-03-10,  23.7, 398.2
2003-03-11,  20.0, 369.2
2003-03-12,  16.0, 376.6
2003-03-13,  17.1, 378.3
2003-03-14,  19.4, 375.6
2003-03-15,  20.6, 343.8
2003-03-16,  21.2, 315.3
2003-03-17,  21.9, 361.7
2003-03-18,  22.5, 379.9
2003-03-19,  23.6, 411.0
2003-03-20,  19.1, 378.3
2003-03-21,  16.2, 375.6
2003-03-22,  17.2, 343.8
2003-03-23,  18.8, 315.3
2003-03-24,  20.2, 361.7
2003-03-25,  20.2, 369.2
2003-03-26,  20.6, 376.6
2003-03-27,  22.2, 382.6
2003-03-28,  23.2, 401.4
2003-03-29,  18.9, 343.8
2003-03-30,  16.9, 315.3
2003-03-31,  16.2, 361.7
2003-04-01,  16.4, 369.2
2003-04-02,  15.4, 377.4
2003-04-03,  16.2, 378.3
2003-04-04,  17.7, 375.6
2003-04-05,  16.3, 343.8
2003-04-06,  15.9, 315.3
2003-04-07,  18.2, 361.7
2003-04-08,  19.2, 369.2
2003-04-09,  16.6, 376.6
2003-04-10,  13.5, 394.3
2003-04-11,  13.2, 394.1
2003-04-12,  12.0, 371.9
2003-04-13,  13.6, 330.5
2003-04-14,  15.9, 361.7
2003-04-15,  17.3, 369.2
2003-04-16,  17.6, 376.6
2003-04-17,  17.9, 378.3
2003-04-18,  18.6, 375.6
2003-04-19,  14.8, 349.4
2003-04-20,  16.0, 315.3
2003-04-21,  17.7, 361.7
2003-04-22,  17.4, 369.2
2003-04-23,  18.5, 376.6
2003-04-24,  19.0, 378.3
2003-04-25,  16.4, 375.6
2003-04-26,  15.9, 343.8
2003-04-27,  15.7, 315.3
2003-04-28,  15.0, 365.7
2003-04-29,  15.2, 371.6
2003-04-30,  15.9, 376.6
2003-05-01,  14.8, 383.9
2003-05-02,  13.2, 394.1
2003-05-03,  12.8, 365.5
2003-05-04,  14.2, 325.7
2003-05-05,  13.5, 377.7
2003-05-06,  10.9, 406.1
2003-05-07,  10.9, 413.5
2003-05-08,  11.0, 414.3
2003-05-09,  13.2, 394.1
2003-05-10,  14.9, 348.6
2003-05-11,  16.3, 315.3
2003-05-12,  17.3, 361.7
2003-05-13,  16.6, 369.2
2003-05-14,  18.6, 376.6
2003-05-15,  16.5, 378.3
2003-05-16,  13.8, 389.2
2003-05-17,  12.3, 369.5
2003-05-18,  11.4, 348.1
2003-05-19,  14.5, 369.7
2003-05-20,  15.4, 370.0
2003-05-21,  16.7, 376.6
2003-05-22,  15.5, 378.3
2003-05-23,  13.1, 394.9
2003-05-24,  12.4, 368.7
2003-05-25,  10.4, 356.2
2003-05-26,  11.3, 395.3
2003-05-27,  11.5, 401.2
2003-05-28,  11.4, 409.5
2003-05-29,  14.9, 383.1
2003-05-30,  16.5, 375.6
2003-05-31,  14.3, 353.4
2003-06-01,  14.3, 324.9
2003-06-02,  13.4, 378.5
2003-06-03,   8.5, 425.3
2003-06-04,   9.1, 427.9
2003-06-05,  11.9, 407.1
2003-06-06,  10.5, 415.7
2003-06-07,   7.1, 411.2
2003-06-08,   5.7, 393.8
2003-06-09,   9.5, 409.8
2003-06-10,  12.5, 393.2
2003-06-11,  12.1, 403.9
2003-06-12,  11.1, 413.5
2003-06-13,  10.7, 414.1
2003-06-14,  12.6, 367.1
2003-06-15,  16.0, 315.3
2003-06-16,  10.6, 400.9
2003-06-17,  10.2, 411.7
2003-06-18,  12.0, 404.7
2003-06-19,  14.0, 390.3
2003-06-20,  16.1, 375.6
2003-06-21,  11.9, 372.7
2003-06-22,  12.1, 342.5
2003-06-23,  13.8, 375.3
2003-06-24,  12.4, 394.0
2003-06-25,  12.7, 399.1
2003-06-26,  12.2, 404.7
2003-06-27,  12.8, 397.3
2003-06-28,  12.9, 364.7
2003-06-29,  11.9, 344.1
2003-06-30,  14.1, 372.9
2003-07-01,  14.7, 375.6
2003-07-02,   9.6, 423.9
2003-07-03,  11.9, 407.1
2003-07-04,  11.4, 408.5
2003-07-05,  10.4, 384.7
2003-07-06,   9.3, 365.0
2003-07-07,  10.3, 403.4
2003-07-08,  11.6, 400.4
2003-07-09,   6.4, 449.6
2003-07-10,   6.7, 448.8
2003-07-11,   5.3, 457.4
2003-07-12,   5.6, 423.2
2003-07-13,   7.7, 377.8
2003-07-14,  10.9, 398.5
2003-07-15,  10.0, 413.3
2003-07-16,   8.1, 436.0
2003-07-17,   8.1, 437.6
2003-07-18,   9.7, 422.1
2003-07-19,  12.6, 367.1
2003-07-20,  14.4, 324.1
2003-07-21,   8.7, 416.2
2003-07-22,   7.3, 434.9
2003-07-23,   7.7, 439.2
2003-07-24,   6.7, 448.8
2003-07-25,   7.6, 439.0
2003-07-26,   8.2, 402.4
2003-07-27,  11.5, 347.3
2003-07-28,  13.8, 375.3
2003-07-29,  11.2, 403.6
2003-07-30,  10.2, 419.1
2003-07-31,  10.5, 418.4
2003-08-01,  13.7, 390.0
2003-08-02,  12.6, 367.1
2003-08-03,  11.9, 344.1
2003-08-04,  13.9, 374.5
2003-08-05,  12.1, 396.4
2003-08-06,   9.6, 423.9
2003-08-07,  10.5, 418.4
2003-08-08,   9.9, 420.5
2003-08-09,   8.4, 400.8
2003-08-10,   7.2, 381.8
2003-08-11,   9.3, 411.4
2003-08-12,  11.1, 404.5
2003-08-13,  12.3, 402.3
2003-08-14,  10.7, 416.7
2003-08-15,   9.2, 426.1
2003-08-16,   8.8, 397.5
2003-08-17,  11.4, 348.1
2003-08-18,  14.0, 373.7
2003-08-19,  15.2, 371.6
2003-08-20,  15.0, 380.6
2003-08-21,  15.1, 381.5
2003-08-22,   9.9, 420.5
2003-08-23,   8.4, 400.8
2003-08-24,   8.2, 373.8
2003-08-25,   7.5, 425.8
2003-08-26,   7.4, 434.1
2003-08-27,   7.0, 444.8
2003-08-28,   7.4, 443.2
2003-08-29,   7.1, 443.0
2003-08-30,   8.3, 401.6
2003-08-31,   9.8, 361.0
2003-09-01,  11.2, 396.1
2003-09-02,  12.6, 392.4
2003-09-03,  14.8, 382.2
2003-09-04,  17.5, 378.3
2003-09-05,  20.1, 375.6
2003-09-06,  17.6, 343.8
2003-09-07,  12.4, 340.1
2003-09-08,  11.5, 393.7
2003-09-09,   9.1, 420.5
2003-09-10,   9.1, 427.9
2003-09-11,  12.3, 403.9
2003-09-12,  13.5, 391.7
2003-09-13,   9.2, 394.3
2003-09-14,   8.8, 369.0
2003-09-15,   9.4, 410.6
2003-09-16,   8.2, 427.7
2003-09-17,   9.6, 423.9
2003-09-18,  14.0, 390.3
2003-09-19,  14.6, 382.8
2003-09-20,  11.6, 375.1
2003-09-21,  13.8, 328.9
2003-09-22,  18.6, 361.7
2003-09-23,  16.7, 369.2
2003-09-24,  13.5, 392.7
2003-09-25,  13.1, 397.5
2003-09-26,  14.2, 386.0
2003-09-27,  14.0, 355.9
2003-09-28,  11.2, 349.7
2003-09-29,  12.3, 387.3
2003-09-30,  15.0, 373.2
2003-10-01,  18.0, 376.6
2003-10-02,  15.5, 378.3
2003-10-03,  14.1, 386.8
2003-10-04,  17.7, 343.8
2003-10-05,  18.5, 315.3
2003-10-06,  18.1, 361.7
2003-10-07,  18.7, 369.2
2003-10-08,  19.6, 376.6
2003-10-09,  15.6, 378.3
2003-10-10,   9.3, 425.3
2003-10-11,  11.1, 379.1
2003-10-12,  13.0, 335.3
2003-10-13,  14.5, 369.7
2003-10-14,  17.4, 369.2
2003-10-15,  20.5, 376.6
2003-10-16,  22.0, 378.3
2003-10-17,  19.6, 375.6
2003-10-18,  21.3, 343.8
2003-10-19,  15.9, 315.3
2003-10-20,  16.5, 361.7
2003-10-21,  16.6, 369.2
2003-10-22,  18.2, 376.6
2003-10-23,  20.0, 378.3
2003-10-24,  20.5, 375.6
2003-10-25,  20.2, 343.8
2003-10-26,  18.7, 315.3
2003-10-27,  15.7, 361.7
2003-10-28,  18.3, 369.2
2003-10-29,  20.0, 376.6
2003-10-30,  21.1, 378.3
2003-10-31,  14.3, 385.2
2003-11-01,  14.1, 355.1
2003-11-02,  14.0, 327.3
2003-11-03,  16.6, 361.7
2003-11-04,  18.2, 369.2
2003-11-05,  18.8, 376.6
2003-11-06,  19.9, 378.3
2003-11-07,  22.3, 382.1
2003-11-08,  22.2, 348.1
2003-11-09,  21.7, 315.3
2003-11-10,  22.1, 363.8
2003-11-11,  21.8, 369.2
2003-11-12,  16.2, 376.6
2003-11-13,  13.7, 392.7
2003-11-14,  17.4, 375.6
2003-11-15,  20.1, 343.8
2003-11-16,  19.8, 315.3
2003-11-17,  19.0, 361.7
2003-11-18,  13.9, 382.0
2003-11-19,  18.2, 376.6
2003-11-20,  14.2, 388.7
2003-11-21,  19.4, 375.6
2003-11-22,  23.9, 384.6
2003-11-23,  22.2, 319.6
2003-11-24,  19.0, 361.7
2003-11-25,  20.5, 369.2
2003-11-26,  23.2, 402.4
2003-11-27,  21.6, 378.3
2003-11-28,  19.9, 375.6
2003-11-29,  19.9, 343.8
2003-11-30,  19.5, 315.3
2003-12-01,  20.8, 361.7
2003-12-02,  22.0, 369.2
2003-12-03,  19.9, 376.6
2003-12-04,  15.8, 378.3
2003-12-05,  17.2, 375.6
2003-12-06,  19.5, 343.8
2003-12-07,  19.3, 315.3
2003-12-08,  17.1, 361.7
2003-12-09,  17.2, 369.2
2003-12-10,  21.0, 376.6
2003-12-11,  18.7, 378.3
2003-12-12,  18.1, 375.6
2003-12-13,  20.6, 343.8
2003-12-14,  21.4, 315.3
2003-12-15,  19.1, 361.7
2003-12-16,  16.1, 369.2
2003-12-17,  19.1, 376.6
2003-12-18,  21.6, 378.3
2003-12-19,  24.2, 422.9
2003-12-20,  24.5, 397.5
2003-12-21,  25.3, 386.1
2003-12-22,  20.7, 361.7
2003-12-23,  19.4, 369.2
2003-12-24,  22.2, 380.9
2003-12-25,  23.7, 414.8
2003-12-26,  25.5, 450.8
2003-12-27,  22.1, 346.0
2003-12-28,  18.5, 315.3
2003-12-29,  19.3, 361.7
2003-12-30,  22.1, 371.3
2003-12-31,  17.0, 376.6
2004-01-01,  18.9, 378.3
2004-01-02,  21.3, 375.6
2004-01-03,  23.9, 384.6
2004-01-04,  25.3, 386.1
2004-01-05,  25.3, 432.5
2004-01-06,  26.1, 457.2
2004-01-07,  24.8, 436.8
2004-01-08,  24.8, 438.4
2004-01-09,  25.7, 455.1
2004-01-10,  23.2, 369.6
2004-01-11,  21.5, 315.3
2004-01-12,  22.4, 370.3
2004-01-13,  23.3, 397.1
2004-01-14,  25.4, 449.7
2004-01-15,  19.9, 378.3
2004-01-16,  20.7, 375.6
2004-01-17,  23.1, 367.5
