0,1,2,3
N,Norte,14/12/2000,259.011.666.667
N,Norte,15/12/2000,249.044.166.667
N,Norte,16/12/2000,242.759.166.667
N,Norte,17/12/2000,233.256.375.000
N,Norte,18/12/2000,250.094.583.333
N,Norte,19/12/2000,256.856.666.667
N,Norte,20/12/2000,257.273.833.333
N,Norte,21/12/2000,257.351.250.000
N,Norte,22/12/2000,257.647.625.000
N,Norte,23/12/2000,248.785.416.667
N,Norte,24/12/2000,246.076.250.000
N,Norte,25/12/2000,238.279.583.333
N,Norte,26/12/2000,256.979.583.333
N,Norte,27/12/2000,263.005.708.333
N,Norte,28/12/2000,262.162.916.667
N,Norte,29/12/2000,259.365.833.333
N,Norte,30/12/2000,253.185.416.667
N,Norte,31/12/2000,245.732.083.333
N,Norte,01/01/2001,237.673.125.000
N,Norte,02/01/2001,253.738.333.333
N,Norte,03/01/2001,254.034.583.333
N,Norte,04/01/2001,253.411.666.667
N,Norte,05/01/2001,257.557.500.000
N,Norte,06/01/2001,249.519.500.000
N,Norte,07/01/2001,241.072.916.667
N,Norte,08/01/2001,257.853.333.333
N,Norte,09/01/2001,255.938.625.000
N,Norte,10/01/2001,254.322.666.667
N,Norte,11/01/2001,253.683.583.333
N,Norte,12/01/2001,252.536.083.333
N,Norte,13/01/2001,248.713.750.000
N,Norte,14/01/2001,240.555.833.333
N,Norte,15/01/2001,256.948.750.000
N,Norte,16/01/2001,257.673.333.333
N,Norte,17/01/2001,257.033.333.333
N,Norte,18/01/2001,259.670.833.333
N,Norte,19/01/2001,259.990.416.667
N,Norte,20/01/2001,250.174.166.667
N,Norte,21/01/2001,239.179.166.667
N,Norte,22/01/2001,253.345.833.333
N,Norte,23/01/2001,256.976.666.667
N,Norte,24/01/2001,255.278.750.000
N,Norte,25/01/2001,255.734.166.667
N,Norte,26/01/2001,254.637.916.667
N,Norte,27/01/2001,246.569.583.333
N,Norte,28/01/2001,238.136.666.667
N,Norte,29/01/2001,255.286.500.000
N,Norte,30/01/2001,257.273.333.333
N,Norte,31/01/2001,253.251.666.667
N,Norte,01/02/2001,249.487.500.000
N,Norte,02/02/2001,254.375.000.000
N,Norte,03/02/2001,243.460.833.333
N,Norte,04/02/2001,238.205.416.667
N,Norte,05/02/2001,254.768.333.333
N,Norte,06/02/2001,258.703.333.333
N,Norte,07/02/2001,258.104.583.333
N,Norte,08/02/2001,258.529.166.667
N,Norte,09/02/2001,258.867.083.333
N,Norte,10/02/2001,246.224.166.667
N,Norte,11/02/2001,237.207.916.667
N,Norte,12/02/2001,256.115.000.000
N,Norte,13/02/2001,258.179.166.667
N,Norte,14/02/2001,256.635.000.000
N,Norte,15/02/2001,256.349.583.333
N,Norte,16/02/2001,257.283.333.333
N,Norte,17/02/2001,251.052.500.000
N,Norte,18/02/2001,236.463.750.000
N,Norte,19/02/2001,255.229.583.333
N,Norte,20/02/2001,256.241.250.000
N,Norte,21/02/2001,256.400.833.333
N,Norte,22/02/2001,256.507.916.667
N,Norte,23/02/2001,255.788.333.333
N,Norte,24/02/2001,247.370.000.000
N,Norte,25/02/2001,236.344.166.667
N,Norte,26/02/2001,242.277.916.667
N,Norte,27/02/2001,237.016.250.000
N,Norte,28/02/2001,249.911.666.667
N,Norte,01/03/2001,253.765.833.333
N,Norte,02/03/2001,255.582.500.000
N,Norte,03/03/2001,247.507.083.333
N,Norte,04/03/2001,241.140.416.667
N,Norte,05/03/2001,257.170.000.000
N,Norte,06/03/2001,260.828.750.000
N,Norte,07/03/2001,244.204.166.667
N,Norte,08/03/2001,256.876.666.667
N,Norte,09/03/2001,261.249.166.667
N,Norte,10/03/2001,247.002.500.000
N,Norte,11/03/2001,238.202.083.333
N,Norte,12/03/2001,253.596.666.667
N,Norte,13/03/2001,251.440.000.000
N,Norte,14/03/2001,254.454.166.667
N,Norte,15/03/2001,255.015.833.333
N,Norte,16/03/2001,255.568.333.333
N,Norte,17/03/2001,247.037.083.333
N,Norte,18/03/2001,236.856.666.667
N,Norte,19/03/2001,254.992.916.667
N,Norte,20/03/2001,256.299.583.333
N,Norte,21/03/2001,258.130.000.000
N,Norte,22/03/2001,258.561.666.667
N,Norte,23/03/2001,257.051.666.667
N,Norte,24/03/2001,246.255.000.000
N,Norte,25/03/2001,239.019.583.333
N,Norte,26/03/2001,256.978.333.333
N,Norte,27/03/2001,257.941.666.667
N,Norte,28/03/2001,258.705.416.667
N,Norte,29/03/2001,258.767.916.667
N,Norte,30/03/2001,253.664.166.667
N,Norte,31/03/2001,248.362.916.667
N,Norte,01/04/2001,239.584.583.333
N,Norte,02/04/2001,254.434.166.667
N,Norte,03/04/2001,256.045.833.333
N,Norte,04/04/2001,255.884.166.667
N,Norte,05/04/2001,256.224.166.667
N,Norte,06/04/2001,258.701.250.000
N,Norte,07/04/2001,250.553.750.000
N,Norte,08/04/2001,243.040.000.000
N,Norte,09/04/2001,258.246.250.000
N,Norte,10/04/2001,260.197.500.000
N,Norte,11/04/2001,259.133.333.333
N,Norte,12/04/2001,255.060.416.667
N,Norte,13/04/2001,241.484.583.333
N,Norte,14/04/2001,248.678.125.000
N,Norte,15/04/2001,242.942.916.667
N,Norte,16/04/2001,259.365.250.000
N,Norte,17/04/2001,260.361.250.000
N,Norte,18/04/2001,259.504.166.667
N,Norte,19/04/2001,260.955.625.000
N,Norte,20/04/2001,257.292.916.667
N,Norte,21/04/2001,246.104.583.333
N,Norte,22/04/2001,240.364.166.667
N,Norte,23/04/2001,259.198.333.333
N,Norte,24/04/2001,261.795.000.000
N,Norte,25/04/2001,262.499.833.333
N,Norte,26/04/2001,263.632.916.667
N,Norte,27/04/2001,263.522.500.000
N,Norte,28/04/2001,253.431.250.000
N,Norte,29/04/2001,243.617.083.333
N,Norte,30/04/2001,258.187.083.333
N,Norte,01/05/2001,245.737.500.000
N,Norte,02/05/2001,265.487.916.667
N,Norte,03/05/2001,264.603.333.333
N,Norte,04/05/2001,266.460.833.333
N,Norte,05/05/2001,257.189.583.333
N,Norte,06/05/2001,245.419.833.333
N,Norte,07/05/2001,264.928.750.000
N,Norte,08/05/2001,266.781.250.000
N,Norte,09/05/2001,265.283.333.333
N,Norte,10/05/2001,266.432.583.333
N,Norte,11/05/2001,266.173.666.667
N,Norte,12/05/2001,256.595.416.667
N,Norte,13/05/2001,247.857.083.333
N,Norte,14/05/2001,263.835.833.333
N,Norte,15/05/2001,265.997.500.000
N,Norte,16/05/2001,265.123.750.000
N,Norte,17/05/2001,265.280.416.667
N,Norte,18/05/2001,264.946.666.667
N,Norte,19/05/2001,255.558.750.000
N,Norte,20/05/2001,246.651.250.000
N,Norte,21/05/2001,262.540.833.333
N,Norte,22/05/2001,263.894.166.667
N,Norte,23/05/2001,263.859.583.333
N,Norte,24/05/2001,261.348.750.000
N,Norte,25/05/2001,261.829.583.333
N,Norte,26/05/2001,253.524.166.667
N,Norte,27/05/2001,244.475.000.000
N,Norte,28/05/2001,265.335.833.333
N,Norte,29/05/2001,267.456.666.667
N,Norte,30/05/2001,266.268.750.000
N,Norte,31/05/2001,265.425.000.000
N,Norte,01/06/2001,262.633.333.333
N,Norte,02/06/2001,255.548.333.333
N,Norte,03/06/2001,244.806.666.667
N,Norte,04/06/2001,258.028.333.333
N,Norte,05/06/2001,258.422.500.000
N,Norte,06/06/2001,255.857.916.667
N,Norte,07/06/2001,258.895.000.000
N,Norte,08/06/2001,258.734.000.000
N,Norte,09/06/2001,250.140.083.333
N,Norte,10/06/2001,240.824.333.333
N,Norte,11/06/2001,257.887.916.667
N,Norte,12/06/2001,256.702.500.000
N,Norte,13/06/2001,257.273.333.333
N,Norte,14/06/2001,244.895.416.667
N,Norte,15/06/2001,245.610.833.333
N,Norte,16/06/2001,254.712.916.667
N,Norte,17/06/2001,246.066.666.667
N,Norte,18/06/2001,262.601.666.667
N,Norte,19/06/2001,264.535.000.000
N,Norte,20/06/2001,260.229.166.667
N,Norte,21/06/2001,263.977.083.333
N,Norte,22/06/2001,261.043.333.333
N,Norte,23/06/2001,252.784.166.667
N,Norte,24/06/2001,242.688.333.333
N,Norte,25/06/2001,257.822.916.667
N,Norte,26/06/2001,261.818.333.333
N,Norte,27/06/2001,259.037.083.333
N,Norte,28/06/2001,251.874.166.667
N,Norte,29/06/2001,240.807.500.000
N,Norte,30/06/2001,231.797.916.667
N,Norte,01/07/2001,215.430.416.667
N,Norte,02/07/2001,230.263.375.000
N,Norte,03/07/2001,229.692.500.000
N,Norte,04/07/2001,229.633.333.333
N,Norte,05/07/2001,231.168.750.000
N,Norte,06/07/2001,229.418.750.000
N,Norte,07/07/2001,219.583.333.333
N,Norte,08/07/2001,211.330.000.000
N,Norte,09/07/2001,225.458.333.333
N,Norte,10/07/2001,226.462.083.333
N,Norte,11/07/2001,228.200.000.000
N,Norte,12/07/2001,227.142.500.000
N,Norte,13/07/2001,227.134.583.333
N,Norte,14/07/2001,215.266.666.667
N,Norte,15/07/2001,206.820.833.333
N,Norte,16/07/2001,222.433.750.000
N,Norte,17/07/2001,225.369.583.333
N,Norte,18/07/2001,225.862.083.333
N,Norte,19/07/2001,225.659.583.333
N,Norte,20/07/2001,223.967.916.667
N,Norte,21/07/2001,214.187.083.333
N,Norte,22/07/2001,206.147.916.667
N,Norte,23/07/2001,220.786.666.667
N,Norte,24/07/2001,224.522.916.667
N,Norte,25/07/2001,220.277.500.000
N,Norte,26/07/2001,221.424.166.667
N,Norte,27/07/2001,224.070.000.000
N,Norte,28/07/2001,221.156.250.000
N,Norte,29/07/2001,205.738.750.000
N,Norte,30/07/2001,221.520.000.000
N,Norte,31/07/2001,227.768.333.333
N,Norte,01/08/2001,227.318.750.000
